variable,source,raw_column,dtype,unit,n_available,n_missing,pct_missing,cohort
ptau217,UPENN_PLASMA...,pT217_F,float,pg/mL (Fujirebio),535,0,0.0,Clinical MCI (A)
abeta42,UPENN_PLASMA...,AB42_F,float,pg/mL (Fujirebio),533,2,0.4,Clinical MCI (A)
abeta40,UPENN_PLASMA...,AB40_F,float,pg/mL (Fujirebio),533,2,0.4,Clinical MCI (A)
ratio_ab42_ab40,derived,AB42_F/AB40_F,float,ratio,533,2,0.4,Clinical MCI (A)
nfl,UPENN_PLASMA...,NfL_Q,float,pg/mL (Quanterix),412,123,23.0,Clinical MCI (A)
gfap,UPENN_PLASMA...,GFAP_Q,float,pg/mL (Quanterix),412,123,23.0,Clinical MCI (A)
APOE4_COUNT,APOERES,GENOTYPE,int,ε4 alleles 0-2,508,27,5.0,Clinical MCI (A)
age,My_Table,entry_age,float,years (baseline),535,0,0.0,Clinical MCI (A)
baseline_dx_harmonized,DXSUM,DIAGNOSIS,cat,CN/MCI/Dementia,535,0,0.0,Clinical MCI (A)
outcome,DXSUM (follow-up),DIAGNOSIS,cat,Stable/Progressed/Unasc,535,0,0.0,Clinical MCI (A)
followup_months,DXSUM (follow-up),EXAMDATE,float,months,410,125,23.4,Clinical MCI (A)
CDRSB,CDR,CDRSB,float,0-18,408,127,23.7,Clinical MCI (A)
FAQTOTAL,FAQ,FAQTOTAL,float,0-30,496,39,7.3,Clinical MCI (A)
MMSCORE,MMSE,MMSCORE,float,0-30,451,84,15.7,Clinical MCI (A)
MOCA,MOCA,MOCA,float,0-30,433,102,19.1,Clinical MCI (A)
sex,(not in data),(none),-,-,0,535,100.0,Clinical MCI (A)
education,(not in data),(none),-,-,0,535,100.0,Clinical MCI (A)
race_ethnicity,(not in data),(none),-,-,0,535,100.0,Clinical MCI (A)
diabetes,(not in data),(none),-,-,0,535,100.0,Clinical MCI (A)
hypertension,(not in data),(none),-,-,0,535,100.0,Clinical MCI (A)
cardiovascular_disease,(not in data),(none),-,-,0,535,100.0,Clinical MCI (A)
stroke_TIA,(not in data),(none),-,-,0,535,100.0,Clinical MCI (A)
depression,(not in data),(none),-,-,0,535,100.0,Clinical MCI (A)
kidney_renal,(not in data),(none),-,-,0,535,100.0,Clinical MCI (A)
ptau217,UPENN_PLASMA...,pT217_F,float,pg/mL (Fujirebio),139,0,0.0,Outcome-ascertained (B)
abeta42,UPENN_PLASMA...,AB42_F,float,pg/mL (Fujirebio),137,2,1.4,Outcome-ascertained (B)
abeta40,UPENN_PLASMA...,AB40_F,float,pg/mL (Fujirebio),137,2,1.4,Outcome-ascertained (B)
ratio_ab42_ab40,derived,AB42_F/AB40_F,float,ratio,137,2,1.4,Outcome-ascertained (B)
nfl,UPENN_PLASMA...,NfL_Q,float,pg/mL (Quanterix),139,0,0.0,Outcome-ascertained (B)
gfap,UPENN_PLASMA...,GFAP_Q,float,pg/mL (Quanterix),139,0,0.0,Outcome-ascertained (B)
APOE4_COUNT,APOERES,GENOTYPE,int,ε4 alleles 0-2,137,2,1.4,Outcome-ascertained (B)
age,My_Table,entry_age,float,years (baseline),139,0,0.0,Outcome-ascertained (B)
baseline_dx_harmonized,DXSUM,DIAGNOSIS,cat,CN/MCI/Dementia,139,0,0.0,Outcome-ascertained (B)
outcome,DXSUM (follow-up),DIAGNOSIS,cat,Stable/Progressed/Unasc,139,0,0.0,Outcome-ascertained (B)
followup_months,DXSUM (follow-up),EXAMDATE,float,months,139,0,0.0,Outcome-ascertained (B)
CDRSB,CDR,CDRSB,float,0-18,92,47,33.8,Outcome-ascertained (B)
FAQTOTAL,FAQ,FAQTOTAL,float,0-30,133,6,4.3,Outcome-ascertained (B)
MMSCORE,MMSE,MMSCORE,float,0-30,131,8,5.8,Outcome-ascertained (B)
MOCA,MOCA,MOCA,float,0-30,85,54,38.8,Outcome-ascertained (B)
sex,(not in data),(none),-,-,0,139,100.0,Outcome-ascertained (B)
education,(not in data),(none),-,-,0,139,100.0,Outcome-ascertained (B)
race_ethnicity,(not in data),(none),-,-,0,139,100.0,Outcome-ascertained (B)
diabetes,(not in data),(none),-,-,0,139,100.0,Outcome-ascertained (B)
hypertension,(not in data),(none),-,-,0,139,100.0,Outcome-ascertained (B)
cardiovascular_disease,(not in data),(none),-,-,0,139,100.0,Outcome-ascertained (B)
stroke_TIA,(not in data),(none),-,-,0,139,100.0,Outcome-ascertained (B)
depression,(not in data),(none),-,-,0,139,100.0,Outcome-ascertained (B)
kidney_renal,(not in data),(none),-,-,0,139,100.0,Outcome-ascertained (B)
